gvkey,datadate,fyear,indfmt,tic,conm,curcd,at,ci,emp,lt,txpd,xopr,costat,mkvalt,prcc_f,city,state
1773,20161231,2016,INDL,ARW,ARROW ELECTRONICS INC,USD,14206.366,423.618,18.7,9740.746,190.109,22733.925,A,6339.4969,71.3,Centennial,CO
1783,20161130,2016,INDL,ARTW,ARTS WAY MFG INC,USD,27.243,-1.124,0.126,9.767,0.005,21.272,A,13.3543,3.25,Armstrong,IA
1794,20160930,2016,INDL,ASH,ASHLAND GLOBAL HOLDINGS INC,USD,9697,-11,11,6532,108,4031,A,7188.9,115.95,Covington,KY
1823,20161231,2016,INDL,ATRO,ASTRONICS CORP,USD,604.344,47.994,2.304,266.895,15.898,534.884,A,983.5694,33.84,East Aurora,NY
1828,20161231,2016,INDL,ACLLF,ATCO LTD  -CL I,CAD,19724,618,6.751,12525,63,2163,A,5122.0148,44.66,Calgary,AB
1837,20161231,2016,INDL,SO7,SOUTHERN GAS CO,USD,21853,250,10.576,12744,-77,2498,A,,65.97,Atlanta,GA
1860,20160930,2016,INDL,ATW,ATWOOD OCEANICS,USD,4539.792,264.206,0.938,1309.406,35.653,457.376,A,563.1033,8.69,Houston,TX
1864,20170131,2016,INDL,REX,REX AMERICAN RESOURCES CORP,USD,454.024,39.518,0.114,65.75,6.94,384.629,A,544.7598,83.03,Dayton,OH
1878,20170131,2016,INDL,ADSK,AUTODESK INC,USD,4798.1,-639.5,9,4064.5,77.7,2304.8,A,17919.202,81.34,San Rafael,CA
1891,20160630,2016,INDL,ADP,AUTOMATIC DATA PROCESSING,USD,43670,1538,57,39188.4,651.6,9140.5,A,41865.159,91.87,Roseland,NJ
1906,20161231,2016,INDL,AVHI,A V HOMES INC,USD,840.233,147.107,0.332,389.426,1.24,731.7,A,355.7054,15.8,Scottsdale,AZ
1913,20161231,2016,INDL,AVY,AVERY DENNISON CORP,USD,4396.4,251.8,,3470.9,106.1,5309,A,6201.058,70.22,Glendale,CA
1919,20160630,2016,INDL,AVT,AVNET INC,USD,11239.805,426.794,17.7,6548.519,92.993,25225.813,A,5158.9485,40.51,Phoenix,AZ
1920,20161231,2016,INDL,AVP,AVON PRODUCTS,USD,3418.9,225.1,26.4,3810.4,143.3,5233.1,A,2205.504,5.04,London,
1932,20161231,2016,INDL,BTI,BRITISH AMER TOBACCO PLC,USD,49067.95,7927.756,,38697.468,1535.957,11089.73,A,,112.67,London,
1949,20160930,2016,FS,BRT,BRT APARTMENTS CORP,USD,874.899,,,673.223,,,A,105.856,8,Great Neck,NY
